Filename,Speaker,Group,Gender,Syl_Dur_Ratio,Vow_Dur_Ratio,Delta_Int_Mean,Delta_St_Mean
L1_03_12,L1_03,Native,Male,2.510795054135444,1.977514439173461,6.785600191995229,3.716770542199508
L1_03_13,L1_03,Native,Male,1.19717627777158,0.7068364330179381,-5.360106567147,2.467527698572561
L1_03_18,L1_03,Native,Male,1.3134005718911383,0.5465254687475403,-4.208294569301792,0.532241655210326
L1_03_19,L1_03,Native,Male,2.0364164485126803,0.7503717431559397,-3.819926858215254,0.6024526649127069
L1_03_05,L1_03,Native,Male,1.1866862816731303,1.2173257258361299,2.827377658841499,-0.09215888528886396
L1_03_04,L1_03,Native,Male,1.6561547309633602,0.5631574430501547,-3.2803150942418142,0.20805019713051776
L1_03_02,L1_03,Native,Male,1.826462936147772,0.3758860406188631,-1.2027882096333542,-0.6349950222748211
L1_03_03,L1_03,Native,Male,1.5603422292510218,0.5850393892380392,-1.9638760436752634,1.8128139455382217
L1_03_08,L1_03,Native,Male,2.087939118310388,1.5234524677103098,-2.525517108253304,0.48874221996466005
L1_03_09,L1_03,Native,Male,0.8520047686871741,0.7284878615591105,-0.6191760135388691,0.26880964458098333
L1_03_15,L1_03,Native,Male,0.9362220251842208,0.6635022518284639,-2.85997163636182,-0.6290380390848327
L1_03_14,L1_03,Native,Male,4.247857542818141,4.043182716681911,1.591101388256206,-1.7039109342245777
L1_03_20,L1_03,Native,Male,1.0399000794693503,0.8724963933522719,-0.14822925318041769,1.052165625453781
L1_03_06,L1_03,Native,Male,0.8632711080477696,0.8949535358668793,3.4530148496833135,0.5267420731313797
L1_03_07,L1_03,Native,Male,1.4988487726131963,0.3992730661151831,-3.5423312793554658,0.258048074942703
L1_03_11,L1_03,Native,Male,1.6130933776360241,0.8980735338593772,-3.8724904713221804,0.8156956177819548
L1_03_10,L1_03,Native,Male,2.516069049936509,0.7997062358997926,-1.1820754698887157,0.7267478037640402
L1_03_16,L1_03,Native,Male,1.1475430349332398,1.2207691957491313,-0.650259181431629,-0.5490270951660803
L1_03_17,L1_03,Native,Male,1.6046201661569512,0.876187416147216,-5.6429693460918315,1.1477506949880543
L1_03_01,L1_03,Native,Male,2.2238342057839193,,-2.93999292633422,0.21128315846591272
L2_05_13,L2_05,Learner,Female,1.707728929554415,0.7980862910290446,-3.4166866081093445,3.11623085057845
L2_05_12,L2_05,Learner,Female,1.775667325127892,0.6701719337252593,-0.08477507189931544,0.44695551267222555
L2_05_19,L2_05,Learner,Female,2.37172940239519,2.267436733275187,2.452005272641486,0.7321672396436014
L2_05_18,L2_05,Learner,Female,1.2551703053383927,0.6880814191689835,2.027420720571179,-0.05641272843118195
L2_05_04,L2_05,Learner,Female,1.9265200014470418,0.8094074069835039,3.0676506304663036,0.1450033258910448
L2_05_05,L2_05,Learner,Female,2.6152865577363196,2.7326228078673482,0.8865497123746593,-1.0161812387469702
L2_05_03,L2_05,Learner,Female,2.3605088287842464,0.38918550664436663,2.6171945179171416,-0.0064232655445621845
L2_05_02,L2_05,Learner,Female,2.4987238362854582,1.8149815953122408,4.755841987715165,1.2254060637802304
L2_05_09,L2_05,Learner,Female,1.5737161334731242,0.5408053373523461,5.8511125299772,-0.11304714577272534
L2_05_08,L2_05,Learner,Female,1.2800326391856147,1.691068313447127,3.389592250113786,0.9045108128807211
L2_05_15,L2_05,Learner,Female,2.2875371900024954,1.8222677668382852,2.5233959668337462,0.30102510374917735
L2_05_20,L2_05,Learner,Female,1.7358887100165354,1.1850270567458001,2.1457833859508,0.9571645413221805
L2_05_07,L2_05,Learner,Female,2.9522792976420207,1.3933962294522968,3.1565891925868996,0.8175621610747221
L2_05_06,L2_05,Learner,Female,1.2930496489081997,0.8842712364097711,2.377441129730059,0.8334508018067304
L2_05_10,L2_05,Learner,Female,3.344539486771432,1.4135367435121202,0.09569604437696455,-0.15620134427670251
L2_05_11,L2_05,Learner,Female,1.5292580800463198,0.5725519854971161,6.227880645262637,0.4931817751172076
L2_05_17,L2_05,Learner,Female,2.057065661285032,1.4969027463525488,-2.472608475303616,0.9054460377923075
L2_05_16,L2_05,Learner,Female,2.7159947315464232,2.0593575804374913,0.2490902562692625,-0.4767808266117015
L2_05_01,L2_05,Learner,Female,1.5151385246286546,0.5534138020451442,-0.6656082088491218,1.7317229655385464
L1_05_02,L1_05,Native,Female,2.3164456943104317,0.5895548691359392,0.30023508853779646,-1.4825636340355377
L1_05_03,L1_05,Native,Female,1.3926905755544732,0.261100794049541,-0.9768200414553831,-1.3101607124467964
L1_05_08,L1_05,Native,Female,1.3515191696396351,0.6980399461062455,0.5884237480995864,-0.6538504041055546
L1_05_09,L1_05,Native,Female,0.7579841442472064,0.6729418941436228,2.753984456514509,-0.9566128249775296
L1_05_15,L1_05,Native,Female,1.3262392848264113,0.8216434218638313,-0.3889424859358286,-0.7728591078229421
L1_05_14,L1_05,Native,Female,3.500287427116695,2.564950388141904,-0.7983786491510685,-1.673386005146405
L1_05_20,L1_05,Native,Female,0.9015848157532321,0.6330717155641604,0.2918922351466051,-0.6642431058352649
L1_05_12,L1_05,Native,Female,1.5717827519025567,0.5880859554347472,-0.7808177291279819,-1.7439230916542812
L1_05_13,L1_05,Native,Female,1.2654925792715708,1.0770105891789907,-3.5126575839056926,-1.103497193198443
L1_05_18,L1_05,Native,Female,1.0379864909925716,0.5610160170087269,-0.6729581852649389,-0.587651021735276
L1_05_19,L1_05,Native,Female,1.3887363236127448,0.9086470672059546,-2.47186626093292,-1.8599482328751158
L1_05_05,L1_05,Native,Female,1.4128365198556507,1.3496576950486356,1.9044647800011063,-0.452860324811569
L1_05_04,L1_05,Native,Female,1.5147013065219472,0.45036618950562374,-0.21813643952202,-0.5890756899000351
L1_05_16,L1_05,Native,Female,1.270180779475383,1.2974786873227042,-1.0578778053119606,-0.40680606334503544
L1_05_17,L1_05,Native,Female,1.54445837396109,0.6231730430159947,-3.3886676196534893,0.03223950083365246
L1_05_01,L1_05,Native,Female,2.7348225375909543,1.2668180183557678,-4.108659685421394,-1.1080532762850055
L1_05_06,L1_05,Native,Female,1.1059565763354606,1.461790631523383,3.431154934013861,-1.3350969416223588
L1_05_07,L1_05,Native,Female,2.2537356952583267,0.8844868569320284,0.24060424091815946,-0.78646972694197
L1_05_11,L1_05,Native,Female,0.8386890530562161,0.7399207619451293,1.365531892650857,-1.4153245638787855
L1_05_10,L1_05,Native,Female,1.6231519306884226,0.4757058285302997,-4.465370118051204,-0.9176589692619572
L2_03_03,L2_03,Learner,Male,1.4189275095129785,0.6830694461401975,-5.689214996850069,2.2105798439736657
L2_03_02,L2_03,Learner,Male,1.7663208681795166,1.2091068988802391,0.3662489050176845,-4.367816006528828
L2_03_09,L2_03,Learner,Male,0.8025984840920365,0.7164625852217591,-1.281268192941866,2.24275004830365
L2_03_08,L2_03,Learner,Male,1.2305513907261747,1.3470742632458488,1.436857517566878,2.791926692475346
L2_03_14,L2_03,Learner,Male,2.587047976927718,1.8118882993830037,-0.9279920851014367,3.149060268956651
L2_03_15,L2_03,Learner,Male,1.0774928823887837,0.7770729735755348,-0.705167371020039,1.7631559230925262
L2_03_20,L2_03,Learner,Male,1.0999020092160419,1.1695089987857468,1.5818642010085355,2.1404626779734164
L2_03_13,L2_03,Learner,Male,2.4064064097243096,1.224979172811722,1.7072953974008769,5.845790865860638
L2_03_12,L2_03,Learner,Male,1.49482276425216,1.2815428823047648,0.8774627720085775,4.529773853581102
L2_03_19,L2_03,Learner,Male,1.5553115376193207,1.250787928558604,-1.2890434430688131,-2.8821314637429962
L2_03_18,L2_03,Learner,Male,0.8008257241659291,0.740111044136318,-3.270615462351614,2.58307287273479
L2_03_04,L2_03,Learner,Male,1.549839902726352,0.6524803677165643,-2.8107711905605015,3.024528640589608
L2_03_05,L2_03,Learner,Male,1.652976462058848,1.6485373126654186,-6.280884736315336,4.3764340245733635
L2_03_17,L2_03,Learner,Male,1.4439098655998235,1.135538587140832,-0.3815302322770364,2.813178789509209
L2_03_16,L2_03,Learner,Male,1.1383446669928772,1.0331847233886782,1.7364037854744296,1.9469818180522047
L2_03_01,L2_03,Learner,Male,1.8164545074360006,1.0928449568699607,-8.764997687332219,3.6149653439047817
L2_03_07,L2_03,Learner,Male,2.0363933296407013,1.0448144544798186,0.09493012447935456,1.3173782139547514
L2_03_06,L2_03,Learner,Male,1.5331111971438809,0.8016308934016853,1.1912585098679216,1.37082152096154
L2_03_10,L2_03,Learner,Male,2.6281684511142287,0.9430628272760017,-1.207570811293266,1.034070950892933
L2_03_11,L2_03,Learner,Male,1.1090713158603691,0.625764486982706,-6.069871730813922,3.481603183171808
L1_02_10,L1_02,Native,Male,2.1943634730344668,0.9584457662201548,-1.8234444736702216,-0.5115244441055387
L1_02_11,L1_02,Native,Male,1.2683505702241915,0.824515482583972,0.32303881747289864,-0.3173615333781976
